title,company,location,salary_min,salary_max,category,created,description
Business Analyst / Senior Business Analyst,Global Pricing Innovations,UK,49518.26,49518.26,Healthcare & Nursing Jobs,2026-07-16 13:49:16+00:00,"Overview Help shape pricing and market access decisions for the world's leading pharmaceutical companies. At Global Pricing Innovations (GPI) , we're passionate about helping pharmaceutical companies make better pricing and market access decisions through data, technology and expert insight. As we continue to grow, we're looking for ambitious Business Analysts to join our Mumbai team. Whether you're looking to take the next step in your career or already have significant experience, we'd love t…"
Business Systems Analyst,Vistra - Property Management,UK,57791.65,57791.65,IT Jobs,2026-08-24 15:08:51+00:00,"Are you looking for an exciting opportunity to be a leader within a highly successful global payroll services business? Are you an innovative and experienced Business Systems Analyst? Are you looking to take your career to the next level by driving success through our values of Respect, Integrity, Teamwork, Accountability, Diversity and Community? Do you have a strong work ethic, global mindset and the desire to help build a great culture? Vistra iiPay is a high growth, innovative company, base…"
Business Analyst,Oliver James Associates,"London, UK",56883.36,56883.36,Accounting & Finance Jobs,2026-08-13 08:58:33+00:00,"Business Analyst - (Hybrid Working) 9-month Fixed Term Contract Overview: Join a growing financial services organisation undergoing a significant period of Finance and Technology transformation. They are looking for an experienced Business Analyst to work with key stakeholders across Finance, Data and Technology, driving complex change and shaping future-proof solutions across the business. The Role: Are you a proven Business Analyst with strong Finance Change experience looking to join an exci…"
Business Analyst,Baltimore,"East Midlands, UK",117000.0,117000.0,IT Jobs,2026-09-03 02:31:32+00:00,"Business Analyst - Children's Services Initial 2–3 Month Contract Immediate Start Required £450 per day Inside IR35 (via umbrella) Midlands - Hybrid Working CVs are being reviewed immediately and interviews are taking place straight away. Are you an experienced Children's Services Business Analyst looking to make an immediate impact on a high-profile transformation programme within Children's Services? This is an exciting opportunity to play a key role in implementing a new operating model, wor…"
Business Analyst,LGC Group,"London, UK",41862.52,41862.52,IT Jobs,2026-08-19 03:10:34+00:00,"Job Description Join BRCGS as a Business Analyst and help shape digital products, influence product strategy, solve meaningful business challenges and play a visible role in delivering innovative solutions that support food safety, quality and supply chain confidence worldwide. Working with product owners, software engineers, QA specialists and business stakeholders, the successful candidate will uncover business challenges, identify opportunities for improvement and help create products that d…"
Business Analyst,Experis UK,"Telford, Shropshire",104000.0,119600.0,IT Jobs,2026-08-28 21:14:13+00:00,Business Analyst Rate: £400 - £460 Clearance Required:SC Clearance Duration:6 months Location: Telford 2 days - but location is flexible Job Description: Business Analyst required to support Government Gateway work and Fraud Prevention Centre work. This is an exciting opportunity to help take on some critical national infrastructure work that is high priority for HMRC and Government. Government Gateway are looking for an E2E Business Analyst to support the Government Gateway delivery of many di…
Business Analyst,Robert Half,"The City, Central London",64772.86,64772.86,IT Jobs,2026-08-26 15:16:52+00:00,"Senior Business Analyst - Corporate Actuarial | London (Hybrid) Contract: Day-rate, inside IR35 Location: London (Hybrid) Function: Finance / Corporate Actuarial / Operations Programme: Back Office Transformation Robert Half is supporting a client whose major Back Office Transformation Programme is already well into the delivery phase, bringing Finance, Corporate Actuarial and Operations together around a new target operating model, technology landscape and processes. We're looking for a Senior…"
Business Analyst,Searchability  Ltd,"Lincoln, Lincolnshire",45000.0,55000.0,IT Jobs,2026-09-02 11:45:24+00:00,"BUSINESS ANALYST (E-COMMERCE & MICROSOFT DYNAMICS 365) £45,000 - £55,000 Lincolnshire - Office-based Dynamics 365 / E-Commerce / Digital Transformation daniel.massey@searchability.com THE ROLE An award-winning digital transformation consultancy in Lincolnshire is looking for an experienced Business Analyst to support a major, high-profile transformation programme spanning e-commerce platforms and Microsoft Dynamics 365. You'll confidently bridge the gap between business stakeholders and technic…"
Business Analyst, nology,"Newcastle Upon Tyne, Tyne & Wear",43496.6,43496.6,IT Jobs,2026-05-22 15:08:28+00:00,"Location: Newcastle (5 days onsite or willingness to relocate) About the Opportunity If you have 2 years of experience as a Business Analyst and are looking to take the next step in your career, this could be a great opportunity for you. As a Business Analyst, you’ll join a collaborative team where you’ll continue to develop your expertise through meaningful project work, ongoing mentoring, and structured support from an experienced manager. This is a fantastic opportunity for someone analytica…"
Business Analyst,Hamiltonian Dynamics,"London, UK",40000.0,85000.0,IT Jobs,2026-06-19 15:34:39+00:00,"Hamiltonian Dynamics is a growing technology company working across Defence and Cyber Security, delivering software solutions for high-assurance environments. With teams based in Gloucestershire, Manchester, and London, we are expanding our analysis capability and are looking for Business Analysts to join us. Requirements As a Business Analyst at Hamiltonian Dynamics, you will work with stakeholders, product teams, and engineers to understand business needs and translate them into clear, action…"
Business Analyst,Infotel UK,"Prestwick, Newcastle Upon Tyne",53137.65,53137.65,IT Jobs,2026-09-04 17:12:34+00:00,"Prestwick for the first three months We are seeking a ServiceNow Business Analyst to bridge the gap between business stakeholders and technical delivery teams. In this role, you will analyse business processes, gather and refine functional requirements, and translate them into actionable ServiceNow user stories and technical configurations. You will drive workflow optimisation across modules like ITSM, CSM, or HRSD while keeping customisation aligned with platform best practice Key Responsibili…"
Business Analyst,Infotel UK,"Glasgow, Scotland",50362.71,50362.71,IT Jobs,2026-09-04 17:12:34+00:00,"Prestwick for the first three months We are seeking a ServiceNow Business Analyst to bridge the gap between business stakeholders and technical delivery teams. In this role, you will analyse business processes, gather and refine functional requirements, and translate them into actionable ServiceNow user stories and technical configurations. You will drive workflow optimisation across modules like ITSM, CSM, or HRSD while keeping customisation aligned with platform best practice Key Responsibili…"
Business Analyst,Chroma Recruitment,"London, UK",75000.0,75000.0,IT Jobs,2026-08-14 21:33:37+00:00,"Senior Business Analyst Location: Central London Hybrid Working: 2-3 days per week Overview We are seeking an experienced Business Analyst to join an expanding Strategy and Technology Delivery team. You will collaborate closely with Programme Managers, technical teams and business stakeholders within a large, complex organisation. This is an excellent opportunity to contribute to the delivery of innovative technology solutions and support business transformation initiatives. The successful cand…"
Business Analyst,Rullion,"Solihull, West Midlands",46893.23,46893.23,IT Jobs,2026-08-15 04:05:04+00:00,"We are seeking an experienced Business Analyst to join the team and support a range of IT and business change initiatives. The successful candidate will have a strong background in business analysis, with proven experience in requirements gathering, workshop facilitation, process mapping and stakeholder management. Experience within the electricity, energy or wider utilities sector would be highly desirable, particularly where the candidate has worked within a regulatory environment. Experience…"
Business Analyst,Data Careers,"The City, Central London",156000.0,169000.0,IT Jobs,2026-08-26 21:11:31+00:00,"Business Analyst - Legal Case Management Software 6 Month Contract Rate: £600 - £650 per day (Inside IR35) Location: UK - Remote (Occasional travel to customer sites may be required) Skills: Legal or Case Management Software, Customer Discovery, Requirements Gathering, User Journey, Agile Delivery We are looking for an experienced Business Analyst to support the ongoing development of a legal case management software product. This is a highly customer-focused role. You will build relationships …"
Business Analyst,Phoenix Software,"Pocklington, York",32475.58,32475.58,IT Jobs,2026-06-30 17:31:25+00:00,"Phoenix enables digital transformation across the UK public sector, empowering organisations to innovate with cloud and hybrid infrastructures, data, AI, security and collaboration technologies. We are now hiring a Business Analyst to join our Systems Development team within the ITAM & FinOps division. This role will focus on identifying, analysing and documenting business and system requirements to support the development and enhancement of License Dashboard systems and customer-facing platfor…"
Business Analyst,Zaizi,"London, UK",70000.0,85000.0,IT Jobs,2026-07-06 13:01:44+00:00,"Zaizi are looking for a Senior Business Analyst with Natsec experience to help drive, lead and make a positive contribution to our customer’s digital transformation programmes. At Zaizi, we thrive on solving complex challenges through creative thinking and the latest tools and tech. Our culture is inclusive, modern, friendly and innovative. We seek bright, positive thinking individuals with a can-do attitude. Our people enjoy challenging themselves to be the best at what they do – if that sound…"
Business Analyst,Solirius Reply,"London, UK",49466.2,49466.2,IT Jobs,2026-02-19 12:33:10+00:00,"About us Solirius Reply , part of the Reply Group , is a technology consultancy and digital transformation partner that helps organisations solve complex challenges through strategy, design, engineering, and delivery. We work closely with our clients to deliver secure, accessible, user-focused services that evolve with their needs. By combining deep technical expertise with people-centred design, we create solutions that deliver meaningful, lasting impact. Our consultants partner directly with …"
Business Analyst,Air Charter Service,"Surbiton, London",39881.69,39881.69,IT Jobs,2026-08-29 03:18:20+00:00,"Job Description Build a deep understanding of the business, its products, processes and SOPs Identifying and documenting project objectives and benefits Eliciting, analysing, validating and documenting business requirements for various IT products Translating business needs into clear, prioritised requirements (user stories, acceptance criteria). Producing ‘as-is’ and ‘to-be’ process maps Creating wireframes and mock-ups to support the business requirements Liaising with the business and 3rd pa…"
Business Analyst,Motorola Solutions,"London, UK",50097.86,50097.86,IT Jobs,2026-07-05 15:32:23+00:00,"Company Overview At Motorola Solutions, we believe that everything starts with our people. We’re a global close-knit community, united by the relentless pursuit to help keep people safer everywhere. We build and connect technologies to help protect people, property and places. Our solutions foster the collaboration that’s critical for safer communities, safer schools, safer hospitals, safer businesses, and ultimately, safer nations. Connect with a career that matters, and help us build a safer …"
Business Analyst,Howden,UK,49051.63,49051.63,IT Jobs,2025-11-22 15:27:43+00:00,"Who are we? Howden is a global insurance group with employee ownership at its heart. Together, we have pushed the boundaries of insurance. We are united by a shared passion and no-limits mindset, and our strength lies in our ability to collaborate as a powerful international team comprised of 23,000 employees spanning over 56 countries. People join Howden for many different reasons, but they stay for the same one: our culture. It’s what sets us apart, and the reason our employees have been turn…"
Business Analyst,Hoople,"Tram Inn, Hereford",37563.0,42123.0,IT Jobs,2026-09-05 16:42:39+00:00,"Job Title : Business Analyst (Adult Social Care Systems - Mosaic) Hours: 37 hours Salary: HC08 £37,563 - £42,123 per annum Contract: Fixed Term for 12 months (with a view to go permenant) Location: Plough Lane / Hybrid Working Closing date: 24/09/2026 The Role Are you an experienced Business Analyst looking to make a real difference in Adult Social Care? We are seeking a motivated and analytical Business Analyst to join our ASC Reporting Team, at Herefordshire Council, supporting the developmen…"
Business Analyst,Tes,"Farringdon, Central London",80000.0,80000.0,IT Jobs,2026-07-23 10:37:17+00:00,"Job Title: Business Analyst Department: AI & Innovation Location: London Working Pattern: Hybrid, includes 3 days each week in the office Contract Type: Full time, permanent Salary: Up to £80,000 per annum At Tes we are on a mission to power schools and enable great teaching worldwide, by delivering EdTech solutions that give educators the tools to succeed. From safeguarding and compliance to staff and pupil management, our innovative and flexible software and services help teachers and school …"
Business Analyst,Clear Business,"Brooklands, Sale",37000.0,46300.0,IT Jobs,2026-08-22 16:19:30+00:00,"We’re looking for a Business Analyst to join our Data and Analytics team and help turn business questions into practical data and insight solutions. You’ll work with stakeholders across Clear Business to understand what they need, shape clear requirements, and support solutions that improve decision-making and business performance. As a key link between business stakeholders and agile delivery teams, you’ll help translate business needs into data-driven solutions that deliver measurable value, …"
Business Analyst,Ncounter,"London, UK",59804.69,59804.69,IT Jobs,2026-08-25 13:39:40+00:00,"Business Analyst - SC Cleared, Contract Ncounter is supporting a growing technology consultancy with an SC Cleared Business Analyst contract, working on a complex UK public sector programme. This is a hands-on delivery role, focused on stakeholder engagement, structured analysis and taking potential solutions through evaluation, trial and proof of concept. Key experience: • Active SC Clearance • Business Analysis across complex UK public sector programmes • Designing and facilitating stakeholde…"
Business Analyst,Wallace Hind Selection,"Leicester, Leicestershire",43319.79,43319.79,IT Jobs,2026-08-25 19:35:29+00:00,"With global reach and a thirst for innovation, we need to be precise in market focus and pricing. We are looking for a data driven, commercially focussed Pricing Manage, Business Analyst or Product Manager to play a key role in collaborating with our sales, purchasing, operations and customer departments. BASIC SALARY: £45,000 - £55,000 BENEFITS: · Bonus · Pension · Holidays LOCATION: Flexible, based in Northampton office but with hybrid flexibility as applicable COMMUTABLE LOCATIONS: Northampt…"
Business Analyst,Wallace Hind Selection,"Rugby, Warwickshire",43142.06,43142.06,IT Jobs,2026-08-25 19:35:29+00:00,"With global reach and a thirst for innovation, we need to be precise in market focus and pricing. We are looking for a data driven, commercially focussed Pricing Manage, Business Analyst or Product Manager to play a key role in collaborating with our sales, purchasing, operations and customer departments. BASIC SALARY: £45,000 - £55,000 BENEFITS: · Bonus · Pension · Holidays LOCATION: Flexible, based in Northampton office but with hybrid flexibility as applicable COMMUTABLE LOCATIONS: Northampt…"
Business Analyst,Wallace Hind Selection,"Bedford, Bedfordshire",42895.61,42895.61,IT Jobs,2026-08-25 19:35:29+00:00,"With global reach and a thirst for innovation, we need to be precise in market focus and pricing. We are looking for a data driven, commercially focussed Pricing Manage, Business Analyst or Product Manager to play a key role in collaborating with our sales, purchasing, operations and customer departments. BASIC SALARY: £45,000 - £55,000 BENEFITS: · Bonus · Pension · Holidays LOCATION: Flexible, based in Northampton office but with hybrid flexibility as applicable COMMUTABLE LOCATIONS: Northampt…"
Business Analyst,Wallace Hind Selection,"Milton Keynes, Buckinghamshire",42989.07,42989.07,IT Jobs,2026-08-25 19:35:29+00:00,"With global reach and a thirst for innovation, we need to be precise in market focus and pricing. We are looking for a data driven, commercially focussed Pricing Manage, Business Analyst or Product Manager to play a key role in collaborating with our sales, purchasing, operations and customer departments. BASIC SALARY: £45,000 - £55,000 BENEFITS: · Bonus · Pension · Holidays LOCATION: Flexible, based in Northampton office but with hybrid flexibility as applicable COMMUTABLE LOCATIONS: Northampt…"
Business Analyst,Wallace Hind Selection,"Northampton, Northamptonshire",43500.96,43500.96,IT Jobs,2026-08-25 19:35:29+00:00,"With global reach and a thirst for innovation, we need to be precise in market focus and pricing. We are looking for a data driven, commercially focussed Pricing Manage, Business Analyst or Product Manager to play a key role in collaborating with our sales, purchasing, operations and customer departments. BASIC SALARY: £45,000 - £55,000 BENEFITS: · Bonus · Pension · Holidays LOCATION: Flexible, based in Northampton office but with hybrid flexibility as applicable COMMUTABLE LOCATIONS: Northampt…"
Business Analyst,Wallace Hind Selection,"Banbury, Oxfordshire",45559.14,45559.14,IT Jobs,2026-08-25 13:34:37+00:00,"With global reach and a thirst for innovation, we need to be precise in market focus and pricing. We are looking for a data driven, commercially focussed Pricing Manage, Business Analyst or Product Manager to play a key role in collaborating with our sales, purchasing, operations and customer departments. BASIC SALARY: £45,000 - £55,000 BENEFITS: · Bonus · Pension · Holidays LOCATION: Flexible, based in Northampton office but with hybrid flexibility as applicable COMMUTABLE LOCATIONS: Northampt…"
Business Analyst,Robert Half,"London, UK",65495.45,65495.45,IT Jobs,2026-08-26 13:43:53+00:00,"Senior Business Analyst - Corporate Actuarial | London (Hybrid) Contract: Day-rate, inside IR35 Location: London (Hybrid) Function: Finance / Corporate Actuarial / Operations Programme: Back Office Transformation Robert Half is supporting a client whose major Back Office Transformation Programme is already well into the delivery phase, bringing Finance, Corporate Actuarial and Operations together around a new target operating model, technology landscape and processes. We're looking for a Senior…"
Business Analyst,Hays Specialist Recruitment Limited,"Birmingham, West Midlands",45276.05,45276.05,IT Jobs,2026-08-25 13:36:50+00:00,"Business Analyst Rate: £350 to £400 per day Contract: Interim We are seeking an experienced Business Analyst to support a major transformation portfolio within a large public sector organisation. This role will suit a confident and self-sufficient BA who is able to work independently across a varied portfolio of change activities, engaging with senior stakeholders, services and project teams to gather requirements, analyse complex information and support the delivery of meaningful business impr…"
Business Analyst,Bridge Recruitment UK Ltd,"Birmingham, West Midlands",36675.98,36675.98,"PR, Advertising & Marketing Jobs",2026-09-03 16:34:24+00:00,"Business Analyst - Product Marketing Hybrid Travel may be required once a month About the Role We are looking for a Business Analyst - Product Marketing to join a growing commercial team in Birmingham. This is an excellent opportunity for a recent graduate or experienced candidate with strong analytical and Excel skills who is looking to develop a career in product management, product marketing or commercial strategy. You will work closely with Product Managers, using data and market insight to…"
Business Analyst,Adecco,"London, UK",51089.65,51089.65,IT Jobs,2026-08-25 13:40:28+00:00,"Job Advertisement: Business Analyst Location: London (Hybrid) Contract Length: 6 months (Potential extension) Working Pattern: Full Time Our client, a leading organisation in the financial services sector, is seeking a highly skilled Business Analyst (BA) to join their team for a temporary engagement. This pivotal role will contribute significantly to the EMEA Trade Surveillance Uplift project, a strategic initiative aimed at enhancing the Firm's trade surveillance capabilities. Purpose of the …"
Business Analyst,Kaplan,"London, UK",42486.37,42486.37,IT Jobs,2026-09-03 16:34:22+00:00,Business Analyst Reference number: JR258066 Location: Hybrid - 2 days London office  3 days remote Working pattern: Full Time Contract Type: Permanent Number of roles: 1 Grade : IT5A Salary: £51K - £60K Per Annum We are looking for a Business Analyst to join our team. The Business Analyst acts as a vital conduit between business stakeholders and technical teams. The core focus is on conducting thorough 'As-Is' process discovery and mapping the revised processes that result from bespoke applicat…
